\Little Richard\,1,1957,,,
\Ray Charles\,59,1957,,,
\Elvis Presley\,73,1958,,,
\Etta James\,25,1960,,,
\Sam Cooke\,13,1960,,,
\Ella Fitzgerald\,11,1960,,,
\Etta James\,15,1960,,,
\Chavela Vargas\,47,1961,,,
\Booker T. & the M.G.'s\,64,1962,,,
\Booker T. & the M.G.'s\,64,1962,,,
\Bob Dylan\,59,1963,,,
\The Beatles\,71,1963,,,
\Charles Brown\,0,1963,,,
\The Surfaris\,15,1963,,,
\Darlene Love\,73,1963,,,
\The Kinks\,16,1964,,,
\The Kinks\,15,1964,,,
\The Kinks\,16,1964,,,
\The Kinks\,15,1964,,,
\The Kinks\,72,1964,,,
\The Beatles\,65,1964,,,
\Simon & Garfunkel\,74,1964,,,
\The Kinks\,69,1964,,,
\Aretha Franklin\,45,1964,,,
\The Rolling Stones\,76,1965,,,
\The Rolling Stones\,76,1965,,,
\The Byrds\,42,1965,,,
\Bob Dylan\,71,1965,,,
\The Beatles\,73,1965,,,
\The Who\,41,1965,,,
\The Kinks\,36,1965,,,
\The Who\,1,1965,,,
\The Temptations\,26,1965,,,
\Beny Moré\,40,1965,,,
\The Impressions\,11,1965,,,
\Bob Dylan\,71,1965,,,
\The Animals\,60,1966,,,
\Bob Dylan\,61,1966,,,
\Buffalo Springfield\,73,1966,,,
\The Who\,56,1966,,,
\The Rolling Stones\,66,1966,,,
\The Animals\,60,1966,,,
\Bob Dylan\,61,1966,,,
\The Who\,56,1966,,,
\Buffalo Springfield\,73,1966,,,
\The Rolling Stones\,14,1966,,,
\The Rolling Stones\,36,1966,,,
\John Lee Hooker\,2,1966,,,
\Donovan\,59,1966,,,
\The Who\,56,1966,,,
\The Beach Boys\,71,1966,,,
\Buffalo Springfield\,73,1966,,,
\The Supremes\,13,1966,,,
\Wilson Pickett\,61,1966,,,
\Percy Sledge\,66,1966,,,
\Van Morrison\,79,1967,,,
\Cream\,16,1967,,,
\Van Morrison\,79,1967,,,
\Jimi Hendrix\,71,1967,,,
\The Doors\,72,1967,,,
\The Doors\,71,1967,,,
\Harry Nilsson\,10,1967,,,
\Harry Nilsson\,10,1967,,,
\Bobbie Gentry\,54,1967,,,
\The Moody Blues\,67,1967,,,
\Cream\,16,1967,,,
\The Doors\,72,1967,,,
\Jimi Hendrix\,71,1967,,,
\Jimi Hendrix\,46,1967,,,
\Van Morrison\,79,1967,,,
\The Doors\,71,1967,,,
\Cream\,73,1967,,,
\The Moody Blues\,67,1967,,,
\Buffalo Springfield\,43,1967,,,
\The Doors\,69,1967,,,
\The Beatles\,66,1967,,,
\The Turtles\,74,1967,,,
\Van Morrison\,2,1967,,,
\Cream\,12,1967,,,
\Jimi Hendrix\,70,1967,,,
\The Velvet Underground\,11,1967,,,
\The Velvet Underground\,41,1967,,,
\Scott Walker\,24,1967,,,
\Jefferson Airplane\,69,1967,,,
\The Kinks\,66,1967,,,
\Cream\,12,1967,,,
\The Doors\,71,1967,,,
\Cream\,3,1967,,,
\The Doors\,0,1967,,,
\The Doors\,0,1967,,,
\Jimi Hendrix\,71,1967,,,
\Jackie Wilson\,67,1967,,,
\Frankie Valli\,65,1967,,,
\Stevie Wonder\,59,1967,,,
\Della Humphrey\,24,1967,,,
\Aretha Franklin\,54,1967,,,
\Steppenwolf\,54,1968,,,
\Clarence Carter\,53,1968,,,
\Jimi Hendrix\,76,1968,,,
\Steppenwolf\,73,1968,,,
\Cream\,18,1968,,,
\Big Brother & The Holding Company\,67,1968,,,
\Van Morrison\,62,1968,,,
\Steppenwolf\,73,1968,,,
\Big Brother & The Holding Company\,67,1968,,,
\Steppenwolf\,67,1968,,,
\Jimi Hendrix\,76,1968,,,
\Traffic\,52,1968,,,
\The Beatles\,62,1968,,,
\The Doors\,62,1968,,,
\Steppenwolf\,54,1968,,,
\The Beatles\,62,1968,,,
\Pink Floyd\,49,1968,,,
\Simon & Garfunkel\,54,1968,,,
\Steppenwolf\,73,1968,,,
\Deep Purple\,62,1968,,,
\The Rolling Stones\,3,1968,,,
\The Foundations\,72,1968,,,
\Clarence Carter\,48,1968,,,
\Creedence Clearwater Revival\,80,1969,,,
\Tyrone Davis\,38,1969,,,
\The Beatles\,79,1969,,,
\Creedence Clearwater Revival\,24,1969,,,
\Led Zeppelin\,70,1969,,,
\Led Zeppelin\,70,1969,,,
\The Rolling Stones\,22,1969,,,
\The Who\,18,1969,,,
\The Band\,60,1969,,,
\The Band\,63,1969,,,
\David Bowie\,7,1969,,,
\Neil Young\,0,1969,,,
\The Stooges\,61,1969,,,
\The Beatles\,79,1969,,,
\Led Zeppelin\,76,1969,,,
\Creedence Clearwater Revival\,24,1969,,,
\Creedence Clearwater Revival\,19,1969,,,
\The Doors\,67,1969,,,
\The Who\,18,1969,,,
\Led Zeppelin\,70,1969,,,
\Santana\,60,1969,,,
\Creedence Clearwater Revival\,76,1969,,,
\Bob Seger\,15,1969,,,
\Led Zeppelin\,70,1969,,,
\Creedence Clearwater Revival\,80,1969,,,
\The Rolling Stones\,75,1969,,,
\Creedence Clearwater Revival\,0,1969,,,
\Creedence Clearwater Revival\,12,1969,,,
\Creedence Clearwater Revival\,12,1969,,,
\Creedence Clearwater Revival\,51,1969,,,
\The Band\,63,1969,,,
\The Band\,60,1969,,,
\Led Zeppelin\,63,1969,,,
\Led Zeppelin\,63,1969,,,
\The Allman Brothers Band\,0,1969,,,
\The Rolling Stones\,66,1969,,,
\"Crosby\,\ Stills & Nash"\,66,1969,,
\"Crosby\,\ Stills & Nash"\,35,1969,,
\The Beatles\,71,1969,,,
\Creedence Clearwater Revival\,22,1969,,,
\Led Zeppelin\,40,1969,,,
\Tommy James & The Shondells\,39,1969,,,
\The Stooges\,54,1969,,,
\The Stooges\,61,1969,,,
\The Velvet Underground\,66,1969,,,
\The Rolling Stones\,22,1969,,,
\Led Zeppelin\,76,1969,,,
\Creedence Clearwater Revival\,24,1969,,,
\Santana\,65,1969,,,
\The Ventures\,48,1969,,,
\The Rolling Stones\,3,1969,,,
\Led Zeppelin\,70,1969,,,
\Marlena Shaw\,62,1969,,,
\Dusty Springfield\,71,1969,,,
\The Meters\,57,1969,,,
\The Isley Brothers\,59,1969,,,
\Led Zeppelin\,77,1970,,,
\The Allman Brothers Band\,3,1970,,,
\Derek & The Dominos\,21,1970,,,
\George Harrison\,17,1970,,,
\Paul McCartney\,1,1970,,,
\Paul McCartney\,8,1970,,,
\Paul McCartney\,1,1970,,,
\John Lennon\,50,1970,,,
\George Harrison\,3,1970,,,
\John Lennon\,53,1970,,,
\George Harrison\,1,1970,,,
\John Lennon\,53,1970,,,
\John Lennon\,45,1970,,,
\"Emerson\,\ Lake & Palmer"\,59,1970,,
\Yes\,31,1970,,,
\Creedence Clearwater Revival\,78,1970,,,
\Led Zeppelin\,77,1970,,,
