,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
danceability,1.0,0.11593896549121427,0.006297387382080352,0.1904006107582543,-0.056281271329585894,0.08703648513013336,-0.13574644556931867,-0.0048894107730013256,-0.15554536209943698,0.32999490612214516,-0.20034279340256297,-0.06263262681974688
energy,0.11593896549121427,1.0,0.005247175220282846,0.5872825779614375,-0.025113027239832466,-0.05445122761546035,-0.43185042170768506,-0.050439303683602624,0.0944442116675444,0.32017265866538863,0.020059622117741656,0.062451290251178536
key,0.006297387382080352,0.005247175220282846,1.0,0.0027113851110411717,-0.16464971714553361,0.020638012449892235,0.02262356355909016,0.003992428468478257,0.01363309062835561,0.010166559580628738,-0.021745757078015154,-0.010817714161837409
loudness,0.1904006107582543,0.5872825779614375,0.0027113851110411717,1.0,0.007781529549540321,0.01811405269826629,-0.20389133704427956,-0.27117525736435394,-0.00028729644337590693,0.2144016843605939,0.025229968216299144,-0.03797310044589565
mode,-0.056281271329585894,-0.025113027239832466,-0.16464971714553361,0.007781529549540321,1.0,-0.057580061221893936,0.025294916631915805,-0.027463648657613964,-0.038971104680676584,-0.01643532713690141,0.021165958983816697,-0.004138192658092275
speechiness,0.08703648513013336,-0.05445122761546035,0.020638012449892235,0.01811405269826629,-0.057580061221893936,1.0,0.03633111319116843,-0.05071304276707785,0.002444104374738661,0.045372233156135186,0.144442253150063,-0.04419484481189389
acousticness,-0.13574644556931867,-0.43185042170768506,0.02262356355909016,-0.20389133704427956,0.025294916631915805,0.03633111319116843,1.0,0.0076842429150219315,-0.004930295895755484,-0.02665555636293378,-0.01103474115244535,-0.015438624890099764
instrumentalness,-0.0048894107730013256,-0.050439303683602624,0.003992428468478257,-0.27117525736435394,-0.027463648657613964,-0.05071304276707785,0.0076842429150219315,1.0,-0.013725571613964122,-0.13667626755537313,-0.01610712351681409,0.021315698143602773
liveness,-0.15554536209943698,0.0944442116675444,0.01363309062835561,-0.00028729644337590693,-0.038971104680676584,0.002444104374738661,-0.004930295895755484,-0.013725571613964122,1.0,-0.032323799932356526,-0.019469161599440506,0.039683878009287014
valence,0.32999490612214516,0.32017265866538863,0.010166559580628738,0.2144016843605939,-0.01643532713690141,0.045372233156135186,-0.02665555636293378,-0.13667626755537313,-0.032323799932356526,1.0,0.023933284883503717,0.008508132591048122
tempo,-0.20034279340256297,0.020059622117741656,-0.021745757078015154,0.025229968216299144,0.021165958983816697,0.144442253150063,-0.01103474115244535,-0.01610712351681409,-0.019469161599440506,0.023933284883503717,1.0,0.032528223238971955
duration_ms,-0.06263262681974688,0.062451290251178536,-0.010817714161837409,-0.03797310044589565,-0.004138192658092275,-0.04419484481189389,-0.015438624890099764,0.021315698143602773,0.039683878009287014,0.008508132591048122,0.032528223238971955,1.0
